flags,utterance,category,intent,response,tone_used
BLQC,"i have a problem when trying to make a payment with card, inform of it",PAYMENT,payment_issue,"please ensure that you entered your credit/debit card details correctly before proceeding with the transaction. If you are still experiencing issues, please contact our support team for further assistance. Thank you for choosing us as your preferred online shopping destination. We value your business and will do everything possible to resolve any issue promptly.",casual
BIPLQ,"can u show me information about the mail address of the Customer Service, please?",CONTACT,contact_customer_service,"Please visit our website at https://www.amazon.com/contact-us/. From there, you should be able to find all necessary contact details for your issue. Thank you!",polite
BMLZ,tack my deliveries,ORDER,track_order,"Thank you for contacting us regarding your order. We're glad that we could help you with tracking your delivery. Please find attached your tracking number below. If you have any further questions about your order, please don't hesitate to reach out to us via email at support@examplecompany.com. Best regards, [Your Name] Customer Service Representative.",concise
BILC,"you aren't helping, can you contact a human?",CONTACT,contact_human_agent,"Sorry for any inconvenience caused by my error. Please refer to the below options for assistance with your issue:
1) If you need further assistance, please visit https://www.amazon.com/help/customer/direct-help/200549637#contactus and select ""Contact Us"" from the drop down menu. 2) Alternatively, if you prefer speaking with someone directly, you may call us at (888)-XXXXXXX or email us at [insert support address] with your inquiry. We will be happy to assist you as soon as possible. Thank you for choosing Amazon!",formal
BIC,"I want to file a review, what should I do?",FEEDBACK,review,"Please follow these steps to submit your review on Amazon:
1. Log into your account at www.amazon.com/review-account. If you don't have an account yet, click ""Create Account"" to sign up for free. 2. Click on the blue ""Review Products"" button located near the top of the page. 3. Fill out the form with as much detail about your experience as possible (e.g., product name, date purchased, price paid, etc.). Be sure to include any specific issues that you had with the product. 4. Click the ""Submit Review"" button when you're done filling it out. That's it! Your review will be posted within 7 days. Thank you for taking the time to leave us feedback. We appreciate all reviews from customers like yourself.",formal
BILQDZ,can u ask an agnt to show me the status of my order?,ORDER,track_order,"Please enter your order number (e.g., 12345) into the search bar at https://www.example.com/search/orders/. From there, you should be able to view details about your specific order. If you need further assistance, please let us know.",casual
BILQC,"I get an error when I attempt to pay for my online order, what do I have to do?",PAYMENT,payment_issue,"Please try again later. If you continue to experience issues with your payment, please contact us at [email protected] so we can assist you further. Thank you for choosing [company name].",casual
BLQC,i want a user account and i wanna create one,ACCOUNT,create_account,"please follow these steps to create your account on amazon:
1. Go to www.amazon.com/sign-up.
2. Enter your email address (which you will need for login) and click ""create my account.""
3. Fill out all the required fields with your personal information.
4. Click ""continue"" when prompted to verify your identity.
5. Follow the verification process by entering your phone number or another way of contacting you.
6. Once verified, you'll be able to log in using your new account details.
7. Enjoy shopping on Amazon!",casual
BLC,I don't like the service and I want to file a consumer complaint,FEEDBACK,complaint,"Yes, of course! Here are the steps you need to follow: 1) Visit our contact page (https://www.amazon.com/contact-us/) and click ""File a Complaint"" button located at the bottom of the page. 2) Fill out the form with all required information such as name, email address, phone number, product details, etc. Make sure to add any additional comments or questions related to your specific",formal
BILQCZ,"i wanna open an online adcount, can u help me?",ACCOUNT,create_account,"Please visit our website at [insert link] for more information on how to open your account as an Amazon customer service assistant. If you have any further questions, please contact us via email at support@[company name].com or by phone at (123) 456-7890. We're here to assist you!",casual
BILQ,can i receive a refund?,REFUNDS,get_refund,"yes, we offer free returns on all orders over $150 within 30 days of purchase for any reason. Please refer to our return policy page for more information. Thank you for choosing us as your preferred retailer!",casual
BILQC,"ive got no account, what can i do to register?",ACCOUNT,create_account,"please go to amazon.com/register to sign up for an amazon prime membership. This will allow you access to free two-day shipping on eligible items, as well as other benefits like unlimited streaming of movies and tv shows, music, and ebooks. Once you’re signed up, we'll send you your gift card within 24 hours! If you have any questions during the registration process, feel free to contact us at support@amazon.com. Thank you for choosing Amazon Prime. Have fun shopping!",casual
BIML,how do I see some bills?,INVOICES,get_invoice,"Please go to your account dashboard on www.example.com/accounts/XXXXX and click ""View Invoices"" under the Billing section. Here you will find all of your outstanding invoices along with their due dates and statuses.",concise
BIC,"I get an error when I try to pay, what should I do?",PAYMENT,payment_issue,"Please ensure that your card information is correct by double-checking all fields before submitting the payment. If you still have issues with payment, please contact us via email at support@examplecompany.com for further assistance. We will work on resolving any technical difficulties as quickly as possible. Thank you for choosing Example Company's products/services.",formal
BILCZ,"I can't understand you, can I contact a human agnet?",CONTACT,contact_human_agent,"Yes, we have a dedicated team of agents who will be happy to assist you with any questions related to your order. Please visit our website at www.amazon.com/contact-us for more information on how to reach us via email, phone or live chat. Thank you for choosing Amazon.",formal
BILC,"I have a problem when trying to make a payment with card, can you report it?",PAYMENT,payment_issue,"Please wait while we investigate your issue. If you need assistance during this process, please call us at 1-800-543-7269 (option 2) for support. Thank you!",formal
BILC,"I lost my account password, what can I do to reset it?",ACCOUNT,recover_password,"Please follow these steps to reset your account password:
1. Go to your account settings page on the website.
2. Scroll down until you see ""Forgot Password"" option. Click that link.
3. Enter your email address associated with your account (if available).
4. If you have forgotten your email address, click the ""Get New Email Address"" button.
5. Fill out the form provided with your new email address.
6. Check your email for a confirmation message from us. This should contain a temporary password.
7. Use this temporary password when prompted during sign-in.
8. Once logged into your account using the new password, go back to step 2 above to generate another temporary password.
9. After logging in again, enter the temporary password generated earlier and follow any other necessary steps to complete your account recovery process.
Note: This guide assumes that you're able to access your account through the",formal
